name,category,subCategory,launched,result,backers,country,pledged,goal,value
The Abundance of Less - Goes to China,Web,Journalism,2017/12/21,live,1,Austria,121.37,14564.34,1
ironmike - wir helfen Menschen gehen,Robots,Technology,2017/12/14,live,0,Austria,0,606847.67,1
TIMELESS ZEITLOS - THE NEW MIKUSKOVICS BAUM ALBUM,Music,Music,2017/12/08,live,9,Austria,542.52,7524.91,1
Heebu.org,Software,Technology,2017/12/07,live,11,Austria,1602.08,20839.15,1
georg___3,Print,Journalism,2017/12/15,live,2,Austria,12.14,303.42,1
You are Strong or weak,Video Games,Games,2017/12/04,live,0,Austria,0,6068.48,1
"The world's best Sports, Travel and Outdoor Jacket",Product Design,Design,2017/12/11,live,295,Austria,131330.33,36410.86,1
Wolf - Wie man dem Schmerz entgegenwirkt,Art,Art,2017/12/22,live,1,Austria,30.34,5449.49,1
Ostasien Fotoserie,Illustration,Art,2017/12/19,live,0,Austria,0,2063.28,1
SAM White Cane,Gadgets,Technology,2017/12/19,live,25,Austria,4609.61,89206.61,1
KUNST ... und [:] Punkt,Film & Video,Film & Video,2017/11/17,live,5,Austria,1468.57,36410.86,1
Music video for new single Abrfabr,Music Videos,Film & Video,2017/12/13,live,0,Austria,0,2427.39,1
Vanishing Point Ruler,Product Design,Design,2017/12/03,live,101,Austria,4951.88,145.64,1
SIMBRO Inline Skating Brake,Technology,Technology,2017/11/20,live,11,Austria,626.27,23667.06,1
The fitness journal - track and reach your goals!,Typography,Design,2017/12/04,live,31,Austria,833.51,2409,1
LEiWAND - European Trail Wear for Trail Mountainbikers,Apparel,Fashion,2017/11/30,successful,105,Austria,16930.45,12045,1
Diese eine Frau,Plays,Theater,2017/11/30,failed,0,Austria,0,18067.5,1
Spicyo - The only artwork created with spices!,Conceptual Art,Art,2017/11/20,failed,2,Austria,144.54,1084.05,1
"Video for my second single ""Breathe""",Electronic Music,Music,2017/12/09,failed,4,Austria,61.16,1187.31,1
Propeller Spring 2.0,Games,Games,2017/12/23,successful,36,Austria,269.84,35.98,1
Photobook // Seychelles - Paradise on Earth,Nature,Photography,2017/11/15,failed,1,Austria,11.99,3597.9,1
VEGAMINO® - BIOSPORT Fruchtgummi,Vegan,Food,2017/11/27,successful,8,Austria,2459.76,2398.6,1
SUNGLASSES FOR EVERYONE!,Fashion,Fashion,2017/11/22,failed,2,Austria,136.31,11852.98,1
RADAR WATCH - Press the Button to Find Your Personal Style,Product Design,Design,2017/11/21,successful,139,Austria,12097.15,11852.98,1
New Urengoy Debut Album,World Music,Music,2017/10/21,failed,1,Austria,11.85,3555.89,1
Hard Copy: Cloning The All Blacks,Journalism,Journalism,2017/11/17,failed,9,Austria,144.61,22224.33,1
grazIN Magazin,Print,Journalism,2017/11/15,failed,0,Austria,0,88544.68,1
Trans-Art Performance at GINC Conference in Rome,Music,Music,2017/11/15,failed,1,Austria,1.18,826.42,1
grinzoo my social pet app,Apps,Technology,2017/11/14,failed,5,Austria,312.86,295148.93,1
SimyBall: Play stress away for enhanced relaxation,Hardware,Technology,2017/11/14,failed,123,Austria,37624.41,88544.68,1
Spinnortality: a cyberpunk management game,Video Games,Games,2017/11/13,successful,812,Austria,16625.15,11805.96,1
GROOVER worlds best electric kick scooter,Hardware,Technology,2017/11/13,failed,70,Austria,40830.9,177089.36,1
T-Rack: a Revolutionary Transport Add-On for Every Bicycle,Product Design,Design,2017/11/11,failed,43,Austria,4038.82,41320.85,1
Adopt an Olive Tree: Hvar Island Croatia,Small Batch,Food,2017/11/06,failed,43,Austria,13465.87,23611.91,1
SLED: THE WORLD'S FIRST SLEDGING LIGHT,Gadgets,Technology,2017/11/06,failed,17,Austria,2842.75,23484.1,1
Anibas Tarot Deck - First Edition,Art,Art,2017/11/07,failed,29,Austria,1427.83,5935.61,1
Wohndesign mit CNC Frästechnik (CNC Milling),Woodworking,Crafts,2017/11/05,failed,5,Austria,568.32,7045.23,1
give1get1 is the WEB TECHNOLOGY for more humanity!,Web,Technology,2017/11/03,failed,2,Austria,70.45,652335.49,1
War Creatures: A small Man's big Idea,Playing Cards,Games,2017/11/03,canceled,1,Austria,35.23,11742.05,1
Dragons of Honour,Accessories,Fashion,2017/10/31,successful,102,Austria,5527.69,2495.84,1
Mi cuerpo: un fotoensayo,Photobooks,Photography,2017/10/30,failed,5,Austria,261.47,1426.19,1
Artizzify,Apps,Technology,2017/10/30,failed,1,Austria,21.39,118849.54,1
Rasenreich PLUS & Memento. Fair Trade - Premium Fußbälle,Technology,Technology,2017/10/24,failed,21,Austria,2051.17,4750.82,1
Propeller Spring,Playing Cards,Games,2017/11/01,failed,25,Austria,190.03,772.01,1
Augmented Reality Mapping of the human body to 3D models,Software,Technology,2017/10/23,failed,9,Austria,138.96,1163.95,1
Renown - The Game,Tabletop Games,Games,2017/10/23,failed,77,Austria,2953.82,5938.52,1
Daniel Dorn Snapback Caps,Fashion,Fashion,2017/10/20,failed,1,Austria,118.77,6769.92,1
Debut Album,Electronic Music,Music,2017/10/20,failed,2,Austria,71.26,17815.57,1
Elena´s Allerlei,Painting,Art,2017/10/20,failed,1,Austria,65.32,1187.7,1
AirLocks - Light lock for your earbuds,Gadgets,Technology,2017/10/18,failed,4,Austria,132.1,26538.65,1
DriveToday.TV,Television,Film & Video,2017/10/17,canceled,4,Austria,7531.08,1177608.45,1
Android Automation Tools for Social Networks,Apps,Technology,2017/09/16,failed,1,Austria,5.9,589.75,1
The Fitness Journal - Track Your Workout Success at the Gym!,Design,Design,2017/10/10,failed,38,Austria,984.77,3496.22,1
bernstein.wald - World's first healthy wooden ambient lamps,Product Design,Design,2017/10/05,failed,28,Austria,4663.96,8157.84,1
CosmoChron - the quality of time,Interactive Design,Design,2017/10/02,canceled,1,Austria,6994.23,34971.15,1
Farbe Sehen - Leben Sehen,Documentary,Film & Video,2017/09/26,failed,5,Austria,1282.28,16319.87,1
The Boda Boda Book – Uganda's motorcycle taxis,Photobooks,Photography,2017/09/24,failed,38,Austria,3712.77,10491.34,1
A magical book for children 2-5 years: Best Christmas gift!,Children's Books,Publishing,2017/09/14,successful,91,Austria,7277.5,5828.52,1
Perfect - a photobook about perfect people,People,Photography,2017/09/13,failed,61,Austria,6033.69,56886.4,1
Gerwinius First EP // Electronica / Deep House,Music,Music,2017/09/26,failed,14,Austria,1178.53,4662.82,1
12 WINDOWS into a time long gone by - (3D-Calendar 2018),Photography,Photography,2017/09/28,failed,5,Austria,233.14,20399.84,1
graceful and immediate / anmutig und unmittelbar,Photobooks,Photography,2017/09/25,failed,3,Austria,210.05,1160.5,1
PUSH BRUSH - WORLD´s UNIQUE Toothbrush & Toothpaste In One!,Gadgets,Technology,2017/09/13,canceled,3,Austria,171.75,34814.9,1
DIEWALD.WATCH - The Seahorse 200m Divers Watch (REVISED),Product Design,Design,2017/10/03,successful,79,Austria,19512.59,17407.45,1
Woist.at - Discover Best Places,Design,Design,2017/09/21,canceled,0,Austria,0,13925.96,1
SOCCER CHALLENGE | App | for PLAYERS,Apps,Technology,2017/09/20,failed,1,Austria,26,15954.24,1
Medisano - minimum effort & maximum output,Software,Technology,2017/09/19,suspended,2,Austria,1240.89,236359.12,1
xBuild - online Management für Ihr Projekt,Software,Technology,2017/08/18,failed,0,Austria,0,47271.82,1
Schnösel Mösel Comics #6,Anthologies,Comics,2017/09/16,successful,30,Austria,1004.53,709.08,1
Angel mugs,Crafts,Crafts,2017/09/16,failed,1,Austria,17.73,1181.8,1
Go APAf!,Journalism,Journalism,2017/09/11,failed,1,Austria,7.09,7086,1
Scorn Part 1 of 2 : Dasein,Video Games,Games,2017/09/05,successful,5636,Austria,227328.28,177150.01,1
Wenn die Wanzen mit der Oma tanzen,Kids,Music,2017/09/18,failed,6,Austria,203.13,2952.5,1
"Book ""Unified Communications Buyer´s Guide""",Nonfiction,Publishing,2017/09/04,failed,1,Austria,38.97,6849.8,1
Zen-Marble,Graphic Design,Design,2017/09/07,failed,1,Austria,1.18,4724,1
Kindersportclub THE GAME,Games,Games,2017/09/05,failed,14,Austria,7353.16,58534.99,1
Feuerwehrtaktische Überlegungen nach Terroranschlag,Nonfiction,Publishing,2017/09/02,failed,22,Austria,772.66,1169.53,1
EXPLORER+ fashionable backpack w/ 100% certified solar panel,Accessories,Fashion,2017/09/01,successful,180,Austria,23423.36,17560.5,1
The Attitude Bag,Product Design,Design,2017/08/22,failed,15,Austria,1319.38,8194.9,1
Wolke Neun mommy-outfit & dress for birth (Geburtskleid),Apparel,Fashion,2017/08/31,failed,9,Austria,1912.92,17560.5,1
Tecoon | IT-platform for everybody,Web,Technology,2017/08/23,failed,2,Austria,879.2,99509.48,1
hold - 100% Biodegradable Credit Card Sized Mobile Holder,Design,Design,2017/08/28,failed,23,Austria,373.07,17708.94,1
Zep | The Minimalist Multifunctional Tool For Your Car,Product Design,Design,2017/08/28,failed,19,Austria,170.01,8264.17,1
DIEWALD.WATCH - The Seahorse 200m Divers Watch,Product Design,Design,2017/08/30,canceled,61,Austria,13953.46,23611.91,1
mPIANO – OPEN UP A NEW DIMENSION OF MUSIC,Sound,Technology,2017/07/25,failed,12,Austria,10764.67,755581.27,1
connect: Social Network in Virtual Reality & Multi-Messenger,Software,Technology,2017/07/18,failed,97,Austria,21437.71,29902.52,1
Join Positive Thoughts,Art Books,Publishing,2017/08/15,failed,0,Austria,0,2990.75,1
Holzzwecki - The children's book:,Children's Books,Publishing,2017/07/06,failed,2,Austria,205.02,30149.91,1
helloplant – keep your plants alive,Product Design,Design,2017/08/01,canceled,705,Austria,57364.42,36179.89,1
Ode to calligraphy,Typography,Design,2017/07/25,failed,5,Austria,95.27,3014.99,1
Carpe Memo,Webseries,Film & Video,2017/07/18,failed,11,Austria,1517.14,42209.87,1
Nightmares escape plan,Mobile Games,Games,2017/07/25,failed,0,Austria,0,5602.37,1
Turboblade | The Revolution in Car Detailing,Product Design,Design,2017/06/27,canceled,26,Austria,7786.11,83439.62,1
Spoontanies Percussion Spoons,Woodworking,Crafts,2017/07/25,failed,3,Austria,166.49,64944.27,1
Necromancer's Legacy,Mobile Games,Games,2017/07/14,failed,3,Austria,54.32,153504.63,1
DIVADI - Vegan Eco-Friendly Energy Shoes,Footwear,Fashion,2017/07/16,failed,14,Austria,1145.82,11739.98,1
PHOTO1x1 | A New Approach to a Free Photography Course,Film & Video,Film & Video,2017/07/07,failed,6,Austria,95.3,11764.98,1
Arcanum,Shorts,Film & Video,2017/07/11,failed,3,Austria,884.73,3529.49,1
Amabrush - World's First Automatic Toothbrush,Product Design,Design,2017/07/05,successful,26832,Austria,3763048.66,58824.91,1
World of Skins - a Documentary about in-game items,Documentary,Film & Video,2017/07/04,failed,11,Austria,1236.65,30328.74,1
MilionArt Kaleidoscope - das XXL-Kunstmagazin,Periodicals,Publishing,2017/07/02,successful,21,Austria,3388.32,3204.37,1
Caveman Chuck wants to EVOLVE,Mobile Games,Games,2017/06/05,failed,2,Austria,13.05,17802.04,1
Join positive thoughts,Art,Art,2017/06/17,failed,0,Austria,0,10477.79,1
FINPO Waterglider,Technology,Technology,2017/06/13,failed,1,Austria,25.61,46567.94,1
Dante´s La Divina Commedia - Inferno,Tabletop Games,Games,2017/05/17,failed,39,Austria,3466.74,55933.52,1
"Participation in XIth Florence Biennale, Italy",Digital Art,Art,2017/06/20,failed,0,Austria,0,7990.5,1
A Hyacinth for His Hideousness (Gay Romance Novel),Translations,Publishing,2017/06/10,failed,15,Austria,1198.58,7419.75,1
Progressive-Flow - Workflow Manager,Software,Technology,2017/06/10,failed,1,Austria,11.42,2283,1
Hedgehog – The versatile educational robotics controller,Robots,Technology,2017/05/10,successful,56,Austria,14328.11,13698,1
Einmal Leben und zurück,Documentary,Film & Video,2017/05/30,failed,3,Austria,74.18,4564.8,1
Ireland Treasure,Tabletop Games,Games,2017/05/04,failed,2,Austria,22.82,5706,1
Host&Visit- Marketplace,Apps,Technology,2017/06/01,failed,0,Austria,0,4564.8,1
SCHEINWELT,Shorts,Film & Video,2017/05/02,failed,4,Austria,91.3,2853,1
"Creating ""The biggest chocolate Dragonskulpture ""2017",Performance Art,Art,2017/05/15,canceled,2,Austria,228.24,11412.01,1
Journey,Documentary,Film & Video,2017/05/29,failed,1,Austria,11.41,5706,1
"AutoLogg - Einfach, einfach Fahrtenbuch führen!",Technology,Technology,2017/05/29,canceled,8,Austria,506.69,34236.02,1
Forgotten Words,Publishing,Publishing,2017/04/27,failed,1,Austria,11.41,3423.6,1
"Lakenland: Luxury Organic Bedding, Honestly Priced",Product Design,Design,2017/05/26,failed,63,Austria,3599.35,29671.22,1
Bucknola,Food,Food,2017/05/26,failed,1,Austria,15.98,114120.08,1
Pictures & More,Video,Journalism,2017/05/22,failed,0,Austria,0,39105.71,1
EXCHIMP AI1 All-in-One VR Headset,Gadgets,Technology,2017/05/02,successful,330,Austria,97803.38,41898.97,1
[fla’nø:r] - A Fine Art Photo Book,Photobooks,Photography,2017/05/18,failed,8,Austria,4564.19,6703.84,1
Advanced Luxury Watches - VYREU,Design,Design,2017/05/17,successful,58,Austria,26098.03,22346.12,1
Kunstallee@Annenversum Graz,Public Art,Art,2017/05/17,failed,18,Austria,694.96,2791.74,1
The Barracks of Belgrade,Photobooks,Photography,2017/05/16,successful,69,Austria,4680.07,4578.45,1
"Geschichte in Farbe, History in Colors",Digital Art,Art,2017/05/15,failed,1,Austria,189.84,4466.78,1
Sock Aid On & Off: Never need to bend over again,Product Design,Design,2017/05/08,failed,13,Austria,881.07,22333.89,1
Interchanger-System,Robots,Technology,2017/05/03,canceled,9,Austria,1045.23,83752.09,1
"Pizzeria Disgusto - a cartoon book about Pizza, Pasta & Co",Comics,Comics,2017/05/09,successful,302,Austria,19715.68,10617.25,1
Art & Cultural Center Grinzland,Art,Art,2017/05/09,failed,0,Austria,0,50292.25,1
"The Elementary Strap - Affordable, Handmade, finest Leather",Photography,Photography,2017/04/06,successful,77,Austria,4126.2,1676.41,1
beeMaths: A Well Designed Ruler That Can Save Your Day,Product Design,Design,2017/04/26,successful,168,Austria,3914.49,2692.09,1
3D printable terrain,Tabletop Games,Games,2017/04/24,failed,7,Austria,213.84,783.72,1
Montevideo Creative Hotspots,Art Books,Publishing,2017/04/23,failed,82,Austria,6583.22,11195.95,1
MULTILUMINOUS: 3-in-1 Glow in the dark art prints,Art,Art,2017/04/04,successful,978,Austria,112681.65,19033.12,1
Presentable Liberty & Exoptable Money (Menagerie) Remakes,Video Games,Games,2017/04/22,failed,91,Austria,4641.84,13435.14,1
INTERACTION - No more boredom!,Games,Games,2017/04/19,successful,292,Austria,23482.05,22391.9,1
Trade Mark - rEvolution - Label - Walter Lanegger,Public Art,Art,2017/05/01,failed,2,Austria,23.48,111790.55,1
Letters to Nothingness - Novel,Fiction,Publishing,2017/04/14,canceled,0,Austria,0,5589.53,1
DESIGN YOUR OWN FOOTBALL,Interactive Design,Design,2017/04/04,canceled,3,Austria,253.76,22358.11,1
Monograph Watch. Making time meaningful.,Wearables,Technology,2017/04/11,failed,68,Austria,10678.01,201205.06,1
"Memes - From you, for you",Webcomics,Comics,2017/04/10,failed,1,Austria,163.14,7579.45,1
Island Revival,Installations,Art,2017/04/10,successful,38,Austria,6677.83,6525.57,1
ToDo - Die App die ihr Leben erleichtern wird,Apps,Technology,2017/04/04,canceled,0,Austria,0,32882.84,1
Trash Playing Cards,Playing Cards,Games,2017/03/31,failed,16,Austria,528.32,3288.28,1
DinRPi - Din Rail mountable enclosure for Raspberry Pi,Technology,Technology,2017/03/15,failed,17,Austria,2076,201681.41,1
DSP-Crowd's Raspberry Pi to DE0 Nano connector,DIY Electronics,Technology,2017/03/28,failed,23,Austria,1340.02,21313.57,1
PuriLamp - the healthy sleep improver,Product Design,Design,2017/03/27,successful,19,Austria,3177.36,2732.51,1
DUNGEONFOG | Create RPG Maps and GameMaster Notes Online,Tabletop Games,Games,2017/03/27,successful,792,Austria,54874.25,16395.06,1
The DribbLords: The First Jump 'n' Spin Game,Video Games,Games,2017/03/24,failed,30,Austria,1811.11,54650.18,1
Phoenix - Warrior´s Awakening,Video Games,Games,2017/03/20,failed,1,Austria,1.07,133725.6,1
18CZ,Games,Games,2017/03/20,successful,398,Austria,57983.42,11767.85,1
MEMORY - The Poetry of Horror,Film & Video,Film & Video,2017/02/19,successful,51,Austria,9186.41,9093.34,1
Old Forest Festival - Mittelalter und Fantasy Festival 2017,World Music,Music,2017/03/18,failed,2,Austria,33.16,69537.31,1
Fair produced Humanwear,Ready-to-wear,Fashion,2017/03/07,successful,179,Austria,17120.09,16047.07,1
A silent piano for a music student,Music,Music,2017/02/16,failed,0,Austria,0,5349.02,1
Fantasy/Sci-Fi novel book series,Journalism,Journalism,2017/03/17,failed,1,Austria,1.07,9414.28,1
PuriLamp - the healthy sleep improver,Product Design,Design,2017/03/14,canceled,7,Austria,851.47,8291.43,1
Millionstore What else! goes Food,Software,Technology,2017/03/14,failed,2,Austria,51.02,53150.21,1
phrame.it - Frames for Classic Instant Pictures,Photography,Photography,2017/03/14,successful,83,Austria,6531.1,4783.52,1
bfriendly - make the world great again,Apps,Technology,2017/03/13,failed,0,Austria,0,15945.06,1
Year 2150,Animation,Film & Video,2017/02/09,failed,3,Austria,124.37,7441.03,1
Bondage-Beach Photoproduction,Art,Art,2017/03/10,failed,2,Austria,194.53,37205.15,1
Manual Labeling Machine,Fabrication Tools,Technology,2017/03/11,failed,2,Austria,242.36,5315.02,1
Tokyo stories,Photobooks,Photography,2017/03/05,successful,116,Austria,7051.97,5208.72,1
FIVE POCKET - Redefining Self-edge Jeans,Fashion,Fashion,2017/03/01,canceled,20,Austria,1878.33,10630.04,1
WienerWürze,Small Batch,Food,2017/03/05,successful,112,Austria,11361.39,11222.14,1
"AMI, der sprachgesteuerte medizinische Notfallsassistent",Apps,Technology,2017/02/26,canceled,20,Austria,723.91,26575.11,1
BAMBOO STRAW - 100% ECOfriendly made in Bali,Food,Food,2017/03/04,failed,17,Austria,228.55,2126.01,1
Easyout - One-hand operated plug / Einhandstecker,Product Design,Design,2017/03/03,successful,27,Austria,1196.94,1063,1
HAVTEUR WATCHES - Built to Inflict Irreparable Envy,Product Design,Design,2017/03/01,canceled,54,Austria,10340.91,42514.86,1
Prijedor'92,Installations,Art,2017/02/02,failed,4,Austria,180.71,53150.21,1
Die Kamera,Webseries,Film & Video,2017/03/01,failed,1,Austria,1.07,58800.26,1
Meet Diana Danko - an Interactive Vampire Tale,Immersive,Theater,2017/02/28,canceled,34,Austria,3397.59,59869.36,1
Patriot Peer - Connecting the silent majority,Apps,Technology,2017/02/12,suspended,148,Austria,8182.73,16036.43,1
we voice it,Publishing,Publishing,2017/02/28,failed,5,Austria,245.89,4276.38,1
Candle Craft,Candles,Crafts,2017/01/29,failed,1,Austria,31,748.37,1
Concept for a House of the Future of Austria,Public Art,Art,2017/02/27,canceled,1,Austria,10.69,2138.19,1
"Digital Arts, Workshop Center",Digital Art,Art,2017/02/27,failed,0,Austria,0,10690.96,1
Miami-Blue Records GmbH,Music Videos,Film & Video,2017/03/14,failed,1,Austria,1.07,6414.57,1
Capacitive Touch Sensor Board with 6 LED-lit Buttons,DIY Electronics,Technology,2017/02/26,failed,19,Austria,821.07,3741.83,1
Herbert – Grow fresh organic food at home,Hardware,Technology,2017/02/13,successful,709,Austria,275922.65,53454.78,1
Recording Studio für Künstler mit kleinem Budget,Music,Music,2017/02/20,failed,2,Austria,11.89,19448.95,1
Vinyl' Mothers of the Land -Temple without Walls,Rock,Music,2017/02/16,successful,20,Austria,1872.07,1836.84,1
worldwide UNITED underground band support - Moshing Maniac,Metal,Music,2017/02/17,failed,2,Austria,32.41,10804.97,1
Original Habeshawit Coffee,Food,Food,2017/02/16,failed,2,Austria,21.61,23770.93,1
"BUMAS custom-made, colorful dog muzzles!",Product Design,Design,2017/02/11,successful,143,Austria,9257.43,8052.74,1
GIESSWEIN Merino Runners,Footwear,Fashion,2017/02/06,successful,591,Austria,85039.08,53684.93,1
Until I Gush Forth / Limited Edition Zine by Esthaem,Photobooks,Photography,2017/02/06,successful,32,Austria,1111.28,966.33,1
How to quit smartphone addiction,Nonfiction,Publishing,2017/02/08,failed,1,Austria,67.88,30757.48,1
"Fotostudio und Seminar-, Workshop - Location",Places,Photography,2017/02/17,failed,0,Austria,0,26515.07,1
Illustration Portfolio,Illustration,Art,2017/02/07,failed,1,Austria,32.88,1590.9,1
Open Parliament: Free Direct Democracy App,Apps,Technology,2017/02/01,failed,4,Austria,144.24,1060.6,1
Work Trips & Road Trips: A guide for creative freelancers,Nonfiction,Publishing,2017/02/03,successful,316,Austria,9295.1,8980.26,1
Warriors and Yogis,Webseries,Film & Video,2017/02/01,failed,0,Austria,0,1056.5,1
pendulum® - a shelf system designed to enlarge your space,Design,Design,2017/01/20,successful,27,Austria,5641.72,5282.51,1
T O U R I S T - debut photography exhibition,Places,Photography,2017/01/30,canceled,0,Austria,0,1584.75,1
"TATZE Mountainbike Pedal, one side Clip one side Flat!",Product Design,Design,2017/01/20,failed,6,Austria,592.7,31695.05,1
EndCycle,Video Games,Games,2017/01/28,failed,27,Austria,623.34,10565.02,1
The IT Community Project - An Online IT Knowledge Base,Web,Technology,2017/01/02,failed,0,Austria,0,5282.51,1
sportskanonenfutter.eu,Web,Journalism,2017/01/26,failed,0,Austria,0,10565.02,1
Meditation: 8 Simple Techniques for Beginners,Nonfiction,Publishing,2017/01/30,failed,1,Austria,5.3,116.7,1
Menagerie: Presentable Liberty & Exoptable Money Remakes,Video Games,Games,2017/01/17,failed,105,Austria,3395.21,12779.96,1
MULTILUMINOUS Glow-in-dark Prints & Paints by Bogi Fabian,Art,Art,2016/12/16,canceled,28,Austria,6706.28,106499.68,1
Struktur Stencils,Tabletop Games,Games,2016/12/15,successful,36,Austria,1435.62,1065,1
partymode - better together!,Apps,Technology,2016/12/20,failed,20,Austria,11071.71,21299.94,1
New Album - 31 CATALYST - Studio Record,Rock,Music,2017/01/11,canceled,1,Austria,10.63,5314.51,1
Songs between heaven and hell - the Malcolm Lowry Project,Music,Music,2016/12/07,successful,11,Austria,4294.13,4251.61,1
Activate your Radiance with an original Yoga portrait!,Art,Art,2017/01/03,failed,0,Austria,0,5370.51,1
MULTILUMINOUS - Glowing Prints & Paints by Bogi Fabian,Art,Art,2016/11/30,canceled,4,Austria,1294.29,107410.23,1
Metropolitain Art Fair,Art,Art,2016/12/06,failed,1,Austria,61.95,5073.49,1
Bound Brickfilm (Untertitel),Animation,Film & Video,2016/12/27,failed,4,Austria,37.38,2670.26,1
Eagle Rocket,DIY Electronics,Technology,2016/12/20,failed,38,Austria,1174.91,16021.53,1
Motu Matatahi Island,Conceptual Art,Art,2016/12/22,failed,18,Austria,465.69,320430.66,1
MusicPoll,Software,Technology,2016/12/20,failed,3,Austria,53.16,10631.96,1
Atelier De Danse,Performances,Dance,2016/12/15,failed,2,Austria,107.38,5315.98,1
SEFAE | The smart electronic first aid education,Web,Technology,2016/12/09,failed,4,Austria,490.41,1492537.31,1
VUNENA - your handmade knitwear,Apparel,Fashion,2016/12/08,failed,16,Austria,844.35,10660.98,1
New Winter and Water Version Inflatable Cloud Air Bag Design,Product Design,Design,2016/12/07,failed,41,Austria,3316.46,31766.87,1
"Kabarettstück ""Dicht in da Nochtschicht""",Plays,Theater,2016/12/05,failed,1,Austria,31.77,582.39,1
IT Governance - Book Publishing Project,Nonfiction,Publishing,2016/11/22,successful,125,Austria,3946.96,3706.14,1
PURITY BOOKMARKS - Heavy Linen Edition | Minimalist design,Product Design,Design,2016/12/12,canceled,1,Austria,14.82,7412.27,1
"Crystallize your mind in the New Year! Best wishes, 2017.",Painting,Art,2016/12/01,failed,53,Austria,4315,12706.75,1
Lampenschirme und Objekte aus französischer Handarbeit,Embroidery,Crafts,2016/12/01,failed,2,Austria,32.83,3706.14,1
can tuner - can in and be happy,Drinks,Food,2016/11/15,canceled,0,Austria,0,158834.37,1
BUGS BEANIE,Wearables,Technology,2016/11/30,failed,0,Austria,0,10540.96,1
Xmass Wishes,Webseries,Film & Video,2016/12/01,failed,5,Austria,157.06,52704.81,1
GymGoat - Sportswear & Fitness Clothing for Goat Lovers,Apparel,Fashion,2016/11/24,failed,4,Austria,130.71,5270.48,1
Vresh Jeans. Handmade in Europe.,Apparel,Fashion,2016/11/24,successful,200,Austria,18915.76,10540.96,1
BAMBOO STRAW - 100% ECOfriendly,Food,Food,2016/11/24,failed,10,Austria,132.82,5270.48,1
Nextreme Magazine - action&adventuresport magazine,Webseries,Film & Video,2016/11/24,failed,1,Austria,5.27,12649.15,1
2-in-1 Global Youth Calendar 2017,Photography,Photography,2016/12/08,successful,18,Austria,529.61,261.15,1
PowerSnout,Hardware,Technology,2016/11/12,failed,14,Austria,532.75,141021.62,1
The Chatbot Wave,Film & Video,Film & Video,2016/10/22,failed,1,Austria,1.04,4700.72,1
The Vintage Underground Folk Music Sessions,Country & Folk,Music,2016/11/29,successful,40,Austria,1223.23,1044.6,1
Concise - Beton 3D-Druck,Product Design,Design,2016/11/16,failed,10,Austria,1039.72,15136.49,1
Hosted WordPress - Redefined,Software,Technology,2016/11/15,failed,0,Austria,0,4175.58,1
Help my !,Theater,Theater,2016/11/18,failed,5,Austria,68.9,12526.75,1
enviroment design,Product Design,Design,2016/11/13,failed,0,Austria,0,7554.67,1
"Baelts: The belt, rebuilt",Accessories,Fashion,2016/11/01,canceled,145,Austria,11993.32,5219.48,1
Ungarn / Österreich - WEIN,Drinks,Food,2016/10/13,failed,2,Austria,105.43,52194.79,1
BeerCoolingTower,DIY,Crafts,2016/11/11,canceled,0,Austria,0,52194.79,1
µTracker - extremly Power Saving GPS + GSM Board,Hardware,Technology,2016/11/18,failed,22,Austria,2145.59,93975.04,1
Legends of the Jungle,Tabletop Games,Games,2016/11/08,successful,79,Austria,8817.82,8447.19,1
SK Rapid Wien - Fan Ski,Product Design,Design,2016/11/08,failed,17,Austria,7341.67,31676.98,1
Rocket Promotion Network,Hip-Hop,Music,2016/11/08,failed,1,Austria,5.28,21117.99,1
First Issue: The New Old Lisbon | Salt & Wonder Magazine,Periodicals,Publishing,2016/11/07,successful,82,Austria,5866.58,5279.5,1
MMS presentation technology for everybody,Sound,Technology,2016/10/30,failed,1,Austria,3192.61,21284.07,1
WA Groups,Apps,Technology,2016/10/17,failed,1,Austria,1.06,1064.2,1
my time. my pillow.,Design,Design,2016/10/24,failed,5,Austria,259.5,10591.99,1
recollections – a journey to the sea,Photography,Photography,2016/10/20,canceled,0,Austria,0,1588.8,1
Pumpkin Seed Oil: Nature's Green Gold,Food,Food,2016/10/29,successful,23,Austria,2707.31,2118.4,1
OpenSource Smart-Home-Solution,Technology,Technology,2016/10/10,failed,3,Austria,59.32,63551.92,1
Space Polyglot: turning learning into gaming,Games,Games,2016/10/19,canceled,93,Austria,3393.85,5314.51,1
Reginald: A new way of looking at sourcecode,Software,Technology,2016/10/24,failed,6,Austria,173.25,20195.15,1
Wallum U1: Your New Simple Wallet,Product Design,Design,2016/10/12,successful,155,Austria,6600.62,5314.51,1
Glimpse – The Future of Your Memories,Film & Video,Film & Video,2016/10/11,canceled,29,Austria,3053.14,16356.08,1
World Control - boardgame-perfection,Tabletop Games,Games,2016/10/15,successful,153,Austria,25807.35,25805.54,1
Oriental Mens´s Fashion,Apparel,Fashion,2016/10/09,canceled,6,Austria,424.17,21808.11,1
Megasus Horserunners - For Horses and Horse Lovers.,Design,Design,2016/10/08,successful,1033,Austria,184426.83,109040.55,1
VELLO BIKE+: the world's best electric folding bike,Product Design,Design,2016/09/08,successful,278,Austria,513770.73,87232.44,1
REEFCALENDAR - The Project for our Reefs!,Art,Art,2016/09/13,successful,72,Austria,7059.58,5546.5,1
Good Life,Shorts,Film & Video,2016/10/01,successful,37,Austria,2446,2218.6,1
